Sum of students_enrolled_courser,Column Labels,,,,
Row Labels,Advanced,Beginner,Intermediate,Mixed,Grand Total
Fundamentals of Visualization with Tableau,,81000,,,81000
Crash Course on Python,,81000,,,81000
Operations Analytics,,,,80000,80000
Learn Spanish: Basic Spanish Vocabulary,,80000,,,80000
Genomic Data Science,,,80000,,80000
Accounting Analytics,,,,80000,80000
Private Equity and Venture Capital,,,,79000,79000
Perfect Tenses and Modals,,,79000,,79000
Introduction to Game Development,,,,79000,79000
Global Diplomacy – Diplomacy in the Modern World,,,,79000,79000
In the Studio: Postwar Abstract Painting,,79000,,,79000
Art & Activity: Interactive Strategies for Engaging with Art,,,,79000,79000
Understanding Clinical Research: Behind the Statistics,,,,78000,78000
"Social Norms, Social Change I",,78000,,,78000
Magic in the Middle Ages,,78000,,,78000
Learn English: Advanced Academic Speaking and Listening,,,78000,,78000
Advanced Business Analytics,,,78000,,78000
Business English: Networking,,,77000,,77000
Машинное обучение и анализ данных,,,77000,,77000
Operating Systems and You: Becoming a Power User,,76000,,,76000
Introduction to Spreadsheets and Models,,,,76000,76000
Excel Skills for Business: Intermediate I,,,76000,,76000
Introduction to Web Development,,76000,,,76000
iOS App Development with Swift,,,76000,,76000
Financial Management,,,76000,,76000
Introduction to Discrete Mathematics for Computer Science,,75000,,,75000
Getting Started with Google Kubernetes Engine,,,75000,,75000
"Corrección, estilo y  variaciones de la lengua española",,75000,,,75000
Introduction to Genetics and Evolution,,,,74000,74000
The Arts and Science of Relationships: Understanding Human Needs,,73000,,,73000
Microeconomics Principles,,73000,,,73000
Getting Started with AWS Machine Learning,,,73000,,73000
Positive Psychiatry and Mental Health,,,,72000,72000
Introduction to Typography,,72000,,,72000
Machine Learning with TensorFlow on Google Cloud Platform,,,72000,,72000
Inspirational Leadership: Leading with Sense,,72000,,,72000
Spanish Vocabulary: Meeting People,,71000,,,71000
Managing Project Risks and Changes,,,,71000,71000
Animal Behaviour and Welfare,,,,71000,71000
Music Production,,70000,,,70000
Project Execution,,70000,,,70000
Quantitative Methods,,,,69000,69000
Finance for Non-Finance Professionals,,69000,,,69000
Introduction to Sustainability,,,,69000,69000
An Introduction to Consumer Neuroscience & Neuromarketing,,69000,,,69000
Agile Meets Design Thinking,,69000,,,69000
Éxito Profesional,,69000,,,69000
Entrepreneurship: Launching an Innovative Business,,69000,,,69000
